"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2.706","2.732","2.751","2.667","-3.46%"
"Sep 29, 2022","2.803","2.805","2.893","2.785","2.49%"
"Sep 28, 2022","2.735","2.891","2.970","2.721","-5.17%"
"Sep 27, 2022","2.884","2.763","2.892","2.667","4.45%"
"Sep 26, 2022","2.761","2.725","2.767","2.661","5.91%"
"Sep 23, 2022","2.607","2.543","2.671","2.487","2.44%"
"Sep 22, 2022","2.545","2.510","2.565","2.408","2.87%"
"Sep 21, 2022","2.474","2.490","2.491","2.434","-1.63%"
"Sep 20, 2022","2.515","2.413","2.543","2.395","6.07%"
"Sep 19, 2022","2.371","2.327","2.408","2.320","2.04%"
"Sep 17, 2022","2.323","2.323","2.323","2.323","-0.11%"
"Sep 16, 2022","2.326","2.389","2.396","2.325","-1.52%"
"Sep 15, 2022","2.362","2.347","2.367","2.292","2.30%"
"Sep 14, 2022","2.309","2.312","2.381","2.286","-1.07%"
"Sep 13, 2022","2.334","2.264","2.346","2.235","3.69%"
"Sep 12, 2022","2.251","2.344","2.358","2.234","-2.64%"
"Sep 09, 2022","2.312","2.342","2.392","2.252","-1.78%"
"Sep 08, 2022","2.354","2.138","2.356","2.136","8.38%"
"Sep 07, 2022","2.172","2.257","2.257","2.153","-4.15%"
"Sep 06, 2022","2.266","2.225","2.270","2.130","1.66%"
"Sep 05, 2022","2.229","2.144","2.246","2.138","3.10%"
"Sep 02, 2022","2.162","2.186","2.247","2.120","-2.52%"
"Sep 01, 2022","2.218","2.253","2.294","2.199","0.86%"
"Aug 31, 2022","2.199","2.134","2.241","2.123","1.43%"
"Aug 30, 2022","2.168","2.151","2.204","2.105","0.00%"
"Aug 29, 2022","2.168","2.137","2.199","2.116","6.01%"
"Aug 26, 2022","2.045","1.938","2.061","1.933","4.23%"
"Aug 25, 2022","1.962","1.988","1.995","1.931","-1.85%"
"Aug 24, 2022","1.999","1.980","2.020","1.933","2.94%"
"Aug 23, 2022","1.942","1.894","1.987","1.874","0.41%"
"Aug 22, 2022","1.934","1.813","1.939","1.792","5.11%"
"Aug 19, 2022","1.840","1.778","1.849","1.766","7.04%"
"Aug 18, 2022","1.719","1.755","1.760","1.677","0.88%"
"Aug 17, 2022","1.704","1.579","1.721","1.579","7.71%"
"Aug 16, 2022","1.582","1.504","1.615","1.502","4.28%"
"Aug 15, 2022","1.517","1.579","1.612","1.493","-4.20%"
"Aug 14, 2022","1.584","1.584","1.584","1.584","-0.91%"
"Aug 12, 2022","1.598","1.586","1.634","1.561","0.69%"
"Aug 11, 2022","1.587","1.507","1.589","1.459","5.24%"
"Aug 10, 2022","1.508","1.526","1.538","1.447","-1.44%"
"Aug 09, 2022","1.530","1.489","1.565","1.464","2.20%"
"Aug 08, 2022","1.497","1.403","1.549","1.464","-3.23%"
"Aug 05, 2022","1.547","1.403","1.549","1.401","10.42%"
"Aug 04, 2022","1.401","1.479","1.505","1.392","-5.59%"
"Aug 03, 2022","1.484","1.429","1.541","1.429","2.91%"
"Aug 02, 2022","1.442","1.372","1.460","1.321","0.98%"
"Aug 01, 2022","1.428","1.469","1.517","1.407","-2.23%"
"Jul 31, 2022","1.461","1.461","1.461","1.461","0.55%"
"Jul 30, 2022","1.452","1.452","1.452","1.452","0.24%"
"Jul 29, 2022","1.449","1.486","1.560","1.441","-3.27%"
"Jul 28, 2022","1.498","1.616","1.634","1.430","-7.53%"
"Jul 27, 2022","1.620","1.574","1.629","1.560","3.58%"
"Jul 26, 2022","1.564","1.652","1.655","1.550","-7.18%"
"Jul 25, 2022","1.685","1.674","1.714","1.641","-0.06%"
"Jul 22, 2022","1.686","1.813","1.839","1.602","-9.65%"
"Jul 21, 2022","1.866","1.857","1.965","1.811","1.69%"
"Jul 20, 2022","1.835","1.817","1.847","1.757","-1.45%"
"Jul 19, 2022","1.862","1.754","1.868","1.746","3.22%"
"Jul 18, 2022","1.804","1.761","1.835","1.761","3.38%"
"Jul 15, 2022","1.745","1.730","1.773","1.698","-3.64%"
"Jul 14, 2022","1.811","1.730","1.848","1.730","3.25%"
"Jul 13, 2022","1.754","1.732","1.792","1.709","2.10%"
"Jul 12, 2022","1.718","1.777","1.783","1.674","-5.66%"
"Jul 11, 2022","1.821","1.905","1.905","1.794","-6.85%"
"Jul 08, 2022","1.955","1.870","1.955","1.844","3.11%"
"Jul 07, 2022","1.896","1.840","1.919","1.837","3.66%"
"Jul 06, 2022","1.829","1.866","1.866","1.722","-0.76%"
"Jul 05, 2022","1.843","1.944","1.980","1.824","-6.64%"
