"Date","Price","Open","High","Low","Change %"
"Sep 30, 2022","2,5735","","","","-4,62%"
"Sep 29, 2022","2,6981","","","","3,04%"
"Sep 28, 2022","2,6186","","","","-0,98%"
"Sep 27, 2022","2,6444","","","","5,85%"
"Sep 26, 2022","2,4983","","","","2,28%"
"Sep 23, 2022","2,4425","","","","1,97%"
"Sep 22, 2022","2,3952","","","","4,99%"
"Sep 21, 2022","2,2814","","","","-1,49%"
"Sep 20, 2022","2,3158","","","","6,42%"
"Sep 19, 2022","2,1761","","","","-0,09%"
"Sep 16, 2022","2,178","","","","3,23%"
"Sep 15, 2022","2,1098","","","","1,13%"
"Sep 14, 2022","2,0862","","","","0,51%"
"Sep 13, 2022","2,0757","","","","5,19%"
"Sep 12, 2022","1,9733","","","","-3,84%"
"Sep 09, 2022","2,052","","","","-0,64%"
"Sep 08, 2022","2,0652","","","","5,08%"
"Sep 07, 2022","1,9654","","","","-2,35%"
"Sep 06, 2022","2,0126","","","","3,37%"
"Sep 05, 2022","1,947","","","","2,91%"
"Sep 02, 2022","1,8919","","","","-2,7%"
"Sep 01, 2022","1,9444","","","","2,26%"
"Aug 31, 2022","1,9014","","","","0%"
"Aug 30, 2022","1,9014","","","","1,4%"
"Aug 29, 2022","1,8752","","","","5,62%"
"Aug 26, 2022","1,7754","","","","4,5%"
"Aug 25, 2022","1,699","","","","-1,66%"
"Aug 24, 2022","1,7277","","","","3,88%"
"Aug 23, 2022","1,6632","","","","2,65%"
"Aug 22, 2022","1,6203","","","","3,51%"
"Aug 19, 2022","1,5654","","","","10,25%"
"Aug 18, 2022","1,4198","","","","0,85%"
"Aug 17, 2022","1,4079","","","","5,67%"
"Aug 16, 2022","1,3324","","","","8,63%"
"Aug 15, 2022","1,2265","","","","-6,05%"
"Aug 12, 2022","1,3055","","","","0,44%"
"Aug 11, 2022","1,2998","","","","9,32%"
"Aug 10, 2022","1,189","","","","-3,71%"
"Aug 09, 2022","1,2348","","","","3,36%"
"Aug 08, 2022","1,1947","","","","-4,29%"
"Aug 05, 2022","1,2482","","","","12,96%"
"Aug 04, 2022","1,105","","","","-6,47%"
"Aug 03, 2022","1,1814","","","","10,55%"
"Aug 02, 2022","1,0687","","","","1,08%"
"Aug 01, 2022","1,0573","","","","-4,48%"
"Jul 29, 2022","1,1069","","","","1,37%"
"Jul 28, 2022","1,0919","","","","-9,55%"
"Jul 27, 2022","1,2072","","","","-2,3%"
"Jul 26, 2022","1,2356","","","","-7,38%"
"Jul 25, 2022","1,3341","","","","0,81%"
"Jul 22, 2022","1,3234","","","","-11,29%"
"Jul 21, 2022","1,4919","","","","-4,85%"
"Jul 20, 2022","1,568","","","","-0,95%"
"Jul 19, 2022","1,5831","","","","3,55%"
"Jul 18, 2022","1,5289","","","","5,81%"
"Jul 15, 2022","1,4449","","","","-5,73%"
